Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection,Syntax_Hugo,Relatedness_Hugo,Syntax_Rui,Relatedness_Rui,Avg_Syntax,Avg_Relatedness
"emissões atmosféricas aumentaram em 2017
","o caldo em quente, a poluição em frio.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,4,3,4
"emissões atmosféricas aumentaram em 2017
","quem dorme com criança cresceram molhado.
",Substitution,TFIDFVectorizer,BERT,1,1,1,1,1,1
"emissões atmosféricas aumentaram em 2017
","de boas emissões o inferno está cheio.
",Substitution,BERT,TFIDFVectorizer,3,5,2,4,2.5,4.5
"emissões atmosféricas aumentaram em 2017
","de boas emissões o inferno está cheio.
",Substitution,BERT,BERT,3,5,2,4,2.5,4.5
"emissões atmosféricas aumentaram em 2017
","quem dorme com criança cresces molhado.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,1,1,1,1,1,1
"emissões atmosféricas aumentaram em 2017
","quem dorme com criança sobes molhado.
",Analogy,TFIDFVectorizer,BERT,1,1,1,1,1,1
"emissões atmosféricas aumentaram em 2017
","em boca fechada não saem moscas.
",Analogy,BERT,TFIDFVectorizer,2,3,3,3,2.5,3
"emissões atmosféricas aumentaram em 2017
","em boca fechada não sobem moscas.
",Analogy,BERT,BERT,2,2,3,2,2.5,2
"emissões atmosféricas aumentaram em 2017
","atmosférica romaria faz, quem em casa fica em paz.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,2,2,2.5,2.5
"emissões atmosféricas aumentaram em 2017
","atmosférica romaria faz, quem em casa fica em paz.
",Comp_Vec,TFIDFVectorizer,BERT,3,3,2,2,2.5,2.5
"emissões atmosféricas aumentaram em 2017
","uma ovelha atmosférica aumenta o rebanho a perder.
",Comp_Vec,BERT,TFIDFVectorizer,2,3,2,3,2,3
"emissões atmosféricas aumentaram em 2017
","a Arca de Noé aumentou atmosférica por amadores; os profissionais construíram o Titanic.
",Comp_Vec,BERT,BERT,2,2,1,3,1.5,2.5
"emissões atmosféricas aumentaram em 2017
","No Dia Em Que...
",-,-,TFIDFVectorizer,3,3,3,2,3,2.5
"emissões atmosféricas aumentaram em 2017
","em boca fechada não entram moscas.
",-,-,BERT,3,2,3,4,3,3
,,,,,,,,,,
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem avisa quer comprar.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,4,3,4
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","mais vale um gosto na vida que dez saberes na algibeira.
",Substitution,TFIDFVectorizer,BERT,3,3,2,2,2.5,2.5
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem tem energia sempre alcança.
",Substitution,BERT,TFIDFVectorizer,3,5,3,5,3,5
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","há energias em que o coração vê melhor que os olhos.
",Substitution,BERT,BERT,3,4,3,4,3,4
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem avisa quer entrar.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,3,4,3,4
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","o melão e a mulher avisam-se pelo rabo.
",Analogy,TFIDFVectorizer,BERT,3,3,3,1,3,2
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","cada um penses de si, e Deus de todos.
",Analogy,BERT,TFIDFVectorizer,1,2,1,2,1,2
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","horizonte puro, com fuzis piscando, terás dia brando, com calor seguro.
",Analogy,BERT,BERT,3,4,2,3,2.5,3.5
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","mais avise carbono duro, que nenhum.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,2,3.5
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","mais avise um gosto na vida que dez reis na algibeira.
",Comp_Vec,TFIDFVectorizer,BERT,2,3,1,2,1.5,2.5
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","o mais difícil de avisá é aquele que tem a aparência do bem.
",Comp_Vec,BERT,TFIDFVectorizer,1,2,3,4,2,3
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","há ocasiões em que o coração vê melhor que os carbonos.
",Comp_Vec,BERT,BERT,3,3,3,3,3,3
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem mais tem mais quer.
",-,-,TFIDFVectorizer,3,5,3,3,3,4
"fmi quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","há ocasiões em que o coração vê melhor que os olhos.
",-,-,BERT,3,4,3,2,3,3
,,,,,,,,,,
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","cão que levou global de cobra tem medo de salsicha.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,2,3,2,4,2,3.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","a humildade só é virtude quando não revela outra.
",Substitution,TFIDFVectorizer,BERT,2,2,2,1,2,1.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","o homem mais independente é, ainda, escravo do ar que revela.
",Substitution,BERT,TFIDFVectorizer,3,3,3,5,3,4
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","nada é tão bem empregado, como aquilo que se dá aos que revelam.
",Substitution,BERT,BERT,3,2,2,3,2.5,2.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","O Primeiro Encontro da Riley
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,1,3,1,3,1
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","quando pobre come frango, um dos dois está social.
",Analogy,TFIDFVectorizer,BERT,2,1,2,2,2,1.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","em boca ligada não entram moscas.
",Analogy,BERT,TFIDFVectorizer,3,1,3,2,3,1.5
"fatura do ambiente revela que potencial de aquecimento global é maior que a atividade económica
","águas verdadeiras, pelo São Mateus as políticas.
",Analogy,BERT,BERT,2,1,1,1,1.5,1
