Combination,Avg_Syntax,Std_Syntax,Avg_Relatedness,Std_Relatedness
"('Substitution', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.783333333333333,0.5193478816960961,3.55,1.0866615541802027
"('Substitution', 'TFIDFVectorizer', 'BERT')",2.7,0.5859465277082315,2.816666666666667,1.2178076841421046
"('Substitution', 'BERT', 'TFIDFVectorizer')",2.7666666666666666,0.5587684871413404,3.3,1.1874342087037917
"('Substitution', 'BERT', 'BERT')",2.783333333333333,0.486198404860494,2.6333333333333333,1.3658534165698584
"('Analogy', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.8846153846153846,0.423076923076923,2.9423076923076925,1.3504053741585202
"('Analogy', 'TFIDFVectorizer', 'BERT')",2.769230769230769,0.5044183480232308,2.5576923076923075,1.2921874944101803
"('Analogy', 'BERT', 'TFIDFVectorizer')",2.6346153846153846,0.7078908584348447,2.769230769230769,1.102713168217804
"('Analogy', 'BERT', 'BERT')",2.7115384615384617,0.6305229350290386,2.3076923076923075,1.217476291641878
"('Comp_Vec', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.7,0.5567764362830022,3.033333333333333,1.1249691353790803
"('Comp_Vec', 'TFIDFVectorizer', 'BERT')",2.6333333333333333,0.6046119049072352,2.6333333333333333,1.316139134826642
"('Comp_Vec', 'BERT', 'TFIDFVectorizer')",2.3833333333333333,0.7323857514239943,3.1,1.1357816691600546
"('Comp_Vec', 'BERT', 'BERT')",2.6666666666666665,0.5962847939999438,3.1333333333333333,1.2970050972229148
"('-', '-', 'TFIDFVectorizer')",3.0,0.0,3.2333333333333334,1.321194745507094
"('-', '-', 'BERT')",3.0,0.0,2.183333333333333,1.372244714165646
