Combination,Avg_Syntax,Std_Syntax,Median_Syntax,Mode_Syntax,Avg_Relatedness,Std_Relatedness,Median_Relatedness,Mode_Relatedness,Kappa_Syntax,Kappa_Relatedness
"('Substitution', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.86,0.44766058571198786,3.0,3,3.66,1.1766052864066183,4.0,4,0.7844827586206897,0.14346895074946464
"('Substitution', 'TFIDFVectorizer', 'BERT')",2.86,0.4004996878900157,3.0,3,2.78,1.1364858116140297,3.0,2,0.8148148148148149,0.22199170124481338
"('Substitution', 'BERT', 'TFIDFVectorizer')",2.94,0.23748684174075838,3.0,3,3.62,1.1643023662262306,4.0,4,-0.05633802816901423,0.22199170124481338
"('Substitution', 'BERT', 'BERT')",2.7,0.5744562646538028,3.0,3,2.84,1.2862348152650822,3.0,2,0.19354838709677413,0.19678714859437763
"('Analogy', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.9318181818181817,0.33013270559849883,3.0,3,3.022727272727273,1.453657399358853,3.0,4,0.0,0.20207253886010357
"('Analogy', 'TFIDFVectorizer', 'BERT')",2.977272727272727,0.14903269373413636,3.0,3,3.159090909090909,1.3474417143437853,3.0,4,0.0,0.3762886597938143
"('Analogy', 'BERT', 'TFIDFVectorizer')",2.9047619047619047,0.29354352395090366,3.0,3,3.5238095238095237,1.3493930776480718,4.0,5,1.0,0.33043478260869563
"('Analogy', 'BERT', 'BERT')",2.857142857142857,0.41239304942116123,3.0,3,3.0952380952380953,1.341809790819559,3.0,3,0.5625,0.1352941176470588
"('Comp_Vec', 'TFIDFVectorizer', 'TFIDFVectorizer')",2.9,0.3,3.0,3,3.4,1.2,3.5,4,0.33628318584070793,-0.1734693877551019
"('Comp_Vec', 'TFIDFVectorizer', 'BERT')",2.76,0.4270831300812525,3.0,3,3.28,1.2496399481450648,3.0,3,0.7807017543859649,0.08722109533468558
"('Comp_Vec', 'BERT', 'TFIDFVectorizer')",2.66,0.62,3.0,3,3.3,1.0630145812734648,3.0,4,0.5173745173745175,0.09766454352441634
"('Comp_Vec', 'BERT', 'BERT')",2.68,0.6462197768561405,3.0,3,3.34,1.1594826432508596,3.5,4,0.27083333333333326,-0.020408163265306145
"('-', '-', 'TFIDFVectorizer')",3.0,0.0,3.0,3,3.7,1.2369316876852983,4.0,4,nan,0.15433403805496837
"('-', '-', 'BERT')",3.0,0.0,3.0,3,2.54,1.3595587519485872,2.0,2,nan,0.3670886075949368
Total,2.857142857142857,0.41598583832514635,3.0,3,3.2336309523809526,1.2969285720295902,3.0,4,0.5098161810679005,0.17909176491684242
