Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ignora as causas, quem se chega dos efeitos.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"senhoria de Itália, Dom de Espanha - não valem uma doença.
",Substitution,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"chega um conselho, pede-o ao velho.
",Substitution,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"há analistas em que o coração vê melhor que os olhos.
",Substitution,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ignora as causas, quem se avalia dos efeitos.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"se dize ver o pobre soberbo, dá-lhe a chave do palheiro.
",Analogy,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"à boca da barra, se aches o navio.
",Analogy,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",Analogy,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em Abril, carrega a sobrevivente o carro e o carril.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em Abril, carrega a sobrevivente o carro e o carril.
",Comp_Vec,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em boca sobrevivente, as moscas não avaliam entrada.
",Comp_Vec,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé avaliou sobrevivente por amadores; os profissionais construíram o Titanic.
",Comp_Vec,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Teste o Seu Cérebro
",-,-,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",Substitution,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a melhor decisão é o ataque.
",Substitution,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",Substitution,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"Smashed - Decisão Dura
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Ternura de Al Jarreau
",Analogy,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"mal por mal, antes na designação do que no hospital.
",Analogy,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",Analogy,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"Smashed - Decisão Dura
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Culpa mantém do Macaco
",Comp_Vec,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama mantém sempre mais verde do lado do vizinho.
",Comp_Vec,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"as designações sempre estão nos extremos, quando não tremem, ameaçam.
",Comp_Vec,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",-,-,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",-,-,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Substitution,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"à boca da barra, se perde o futebol.
",Substitution,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o homem honrado não se autoriza com as deslocações do patife.
",Substitution,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"há sindicato para tudo menos para a morte.
",Analogy,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"da noz, o sindicato é bom amigo.
",Analogy,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Poeticamente Exausto, Verticalmente Só - A História de José Bação Leal
",Analogy,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Batman v Super-Homem: O Despertar da Justiça
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Batman v Super-Homem: O Despertar da Justiça
",Comp_Vec,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não exige só para usar sindicato.
",Comp_Vec,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"os homens não se exigem aos sindicatos.
",Comp_Vec,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Gala Internacional de Futebol
",-,-,TFIDFVectorizer
