Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Teste o Seu Cérebro
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Quando o Amor Chega
",Substitution,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não fazem efeitos.
",Substitution,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"de fartas ceias estão as vítimas cheias.
",Substitution,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Quando o Amor Chega
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"avalia as causas, quem se analisa dos efeitos.
",Analogy,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não avalia milagres.
",Analogy,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"mais vale um que bem considera do que dois que mal avalia.
",Analogy,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ao sobrevivente, não descubras teu avalia.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Demasiado Grande Para Falhar
",Comp_Vec,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em boca sobrevivente, as moscas não avalia entrada.
",Comp_Vec,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Rapariga Eléctrica: Tens de avalia
",Comp_Vec,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Teste o Seu Cérebro
",-,-,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama é sempre mais verde do lado do europeu.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"do parlamento te guardarás, e do mau homem não poderás.
",Substitution,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"o europeu médico é o do terceiro dia.
",Substitution,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"ninguém é bom pedido em causa própria.
",Substitution,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é sempre mais verde do lado do vizinho.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"O Ritmo na Vida
",Analogy,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é sempre mais verde do lado do designado.
",Analogy,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é para o coração, o que a conotação é para o espírito.
",Analogy,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"mais mantê o calar do mundo, que o falar do mentiroso.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"Um Homem mantê um Homem
",Comp_Vec,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"mais mantê ter designação do que ser endesignaçãodo.
",Comp_Vec,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"a melhor defesa mantê o ataque.
",Comp_Vec,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",-,-,TFIDFVectorizer
