Headline,Generated_Expression,Generation_Method,Final_Selection
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","ano o seu cérebro
",Substitution,TFIDFVectorizer
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","os desaparecidos são um vírus
",Substitution,BERT
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","santos da casa não avaliam milagres.
",Analogy,TFIDFVectorizer
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","avalia as causas, quem se concorda dos efeitos.
",Analogy,BERT
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","todos sobreviventes a avaliar
",Comp_Vec,TFIDFVectorizer
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","fevereiro sobrevivente avalia o diabo no ventre.
",Comp_Vec,BERT
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","teste o seu cérebro
",-,TFIDFVectorizer
"Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes
","a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,BERT
"UEFA mantém designação do Europeu 2020 e explica a decisão
","a decisão do mundo
",Substitution,TFIDFVectorizer
"UEFA mantém designação do Europeu 2020 e explica a decisão
","ferro mata ferro continua.
",Substitution,BERT
"UEFA mantém designação do Europeu 2020 e explica a decisão
","a designação do nome
",Analogy,TFIDFVectorizer
"UEFA mantém designação do Europeu 2020 e explica a decisão
","a ignorância da lei não designação a ninguém.
",Analogy,BERT
"UEFA mantém designação do Europeu 2020 e explica a decisão
","a grama mantém sempre mais verde do lado do vizinho.
",Comp_Vec,TFIDFVectorizer
"UEFA mantém designação do Europeu 2020 e explica a decisão
","mantenhamos muitas designações, mas não disputemos nunca.
",Comp_Vec,BERT
"UEFA mantém designação do Europeu 2020 e explica a decisão
","a decisão de isabel
",-,TFIDFVectorizer
"UEFA mantém designação do Europeu 2020 e explica a decisão
","o homem honrado não se autoriza com as opiniões do patife.
",-,BERT
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","um sindicato de homem
",Substitution,TFIDFVectorizer
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","tal pai, tal atleta
",Substitution,BERT
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","a greve do sindicato: o regresso do rugido
",Analogy,TFIDFVectorizer
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","o jornalista do sindicato
",Analogy,BERT
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","voz do sindicato exige voz de deus.
",Comp_Vec,TFIDFVectorizer
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","da noz, o sindicato exige bom amigo.
",Comp_Vec,BERT
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","gala internacional de futebol
",-,TFIDFVectorizer
"Sindicato de Jogadores exige aprovação da DGS para regresso do futebol
","o homem honrado não se autoriza com as opiniões do patife.
",-,BERT
"Finge ter Covid-19 no Facebook e acaba detido
","finge melhor quem finge por último.
",Substitution,TFIDFVectorizer
"Finge ter Covid-19 no Facebook e acaba detido
","ferro que não se tem, gasta-o a ferrugem.
",Substitution,BERT
"Finge ter Covid-19 no Facebook e acaba detido
","a minha liberdade acaba onde finge a liberdade dos outros.
",Analogy,TFIDFVectorizer
"Finge ter Covid-19 no Facebook e acaba detido
","não se desconfie fingir em tudo
",Analogy,BERT
"Finge ter Covid-19 no Facebook e acaba detido
","fingir no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer
"Finge ter Covid-19 no Facebook e acaba detido
","o avarento não detém, e o pródigo não fingirá.
",Comp_Vec,BERT
"Finge ter Covid-19 no Facebook e acaba detido
","porque um dia acaba
",-,TFIDFVectorizer
"Finge ter Covid-19 no Facebook e acaba detido
","mais vale uma vista do dono, que cem brados do abegão.
",-,BERT
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","um pinto na carta
",Substitution,TFIDFVectorizer
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","em terra de sapos, de escritoras como eles.
",Substitution,BERT
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","sem anos de costa
",Analogy,TFIDFVectorizer
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","fado, história de um mato
",Analogy,BERT
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","mais vale agradecer com a costa, que ofender com a sócia.
",Comp_Vec,TFIDFVectorizer
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","costa de uma sócia
",Comp_Vec,BERT
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","um pinto na selva
",-,TFIDFVectorizer
"Pinto da Costa escreveu carta a sócios com mais de 70 anos
","cão que levou mordida de cobra tem medo de salsicha.
",-,BERT
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","os professores das trocas
",Substitution,TFIDFVectorizer
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","o que fazemos nas televisões
",Substitution,BERT
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","a verdade na arte é apenas a tv das televisões do artista.
",Analogy,TFIDFVectorizer
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","o record do teu coração
",Analogy,BERT
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","a tv na arte é apenas a turma das impressões do artista.
",Comp_Vec,TFIDFVectorizer
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","a turma da senhora peregrine para tvs peculiares
",Comp_Vec,BERT
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","a tv é tua
",-,TFIDFVectorizer
"Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas
","a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,BERT
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","uma família para o natal
",Substitution,TFIDFVectorizer
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","o dançar bem é de poucos.
",Substitution,BERT
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","os marretas - avós para o sobrinhinho natal
",Analogy,TFIDFVectorizer
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","um sobrinhinho, dois avós
",Analogy,BERT
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","a parabém para sobrinha
",Comp_Vec,TFIDFVectorizer
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","a sobrinha da senhora peregrine para crianças peculiares
",Comp_Vec,BERT
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","chamadas para a quarentena
",-,TFIDFVectorizer
"Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha
","a casa da senhora peregrine para crianças peculiares
",-,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","enquanto há esperança há esperança.
",Substitution,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","terrível de uma inspectora do livro de recordes
",Substitution,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","mágicas palavras e maus feitos, enganam sisudos e néscios.
",Analogy,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","lugar mágico, lugar sem repouso.
",Analogy,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","há incertezas em que o coração vê melhor que os olhos.
",Comp_Vec,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","o tesouro mágico da incerteza misteriosa
",Comp_Vec,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","enquanto há vida há esperança.
",-,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança
","mas se está claro, cheio de luz, haja alegria, que o tempo é de truz.
",-,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","o desconfiado defende a ser traído.
",Substitution,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","homenagem servicinho ouro negro
",Substitution,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","quem exclui o que pode a mais não é excluído.
",Analogy,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","não me cortes o cabelo que meu pai me exclui
",Analogy,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","nalgum auxílio do excluído
",Comp_Vec,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","não excluem galinhas onde a raposa mora.
",Comp_Vec,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","ser ou não ser
",-,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho
","respeitai os bens dos outros, se quereis possuir os vossos tranquilamente.
",-,BERT
"EUA estão a apontar para o pior número de desemprego da sua história
","o rabo é o pior de apontar.
",Substitution,TFIDFVectorizer
"EUA estão a apontar para o pior número de desemprego da sua história
","sou a cara má que vive nesta casa
",Substitution,BERT
"EUA estão a apontar para o pior número de desemprego da sua história
","o rabo é o pior de apontar.
",Analogy,TFIDFVectorizer
"EUA estão a apontar para o pior número de desemprego da sua história
","não entende a abelha, senão a quem aponta com ela.
",Analogy,BERT
"EUA estão a apontar para o pior número de desemprego da sua história
","o rabo aponta o pior de esfolar.
",Comp_Vec,TFIDFVectorizer
"EUA estão a apontar para o pior número de desemprego da sua história
","aponta que é pior!
",Comp_Vec,BERT
"EUA estão a apontar para o pior número de desemprego da sua história
","pior é nada.
",-,TFIDFVectorizer
"EUA estão a apontar para o pior número de desemprego da sua história
","o bibliotecário: a maldição do cálice de judas
",-,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","as cortes e os amores, os primeiros são os melhores.
",Substitution,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","não queira o corte tocar rabecão.
",Substitution,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","os expiatórios são os primeiros.
",Analogy,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","melhor procura o meu que o nosso.
",Analogy,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","os expiatórios e os bodes da morte
",Comp_Vec,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","os expiatórios e os bodes da morte
",Comp_Vec,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","os últimos são os primeiros.
",-,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?
","lisboa é praça de armas, coimbra dos estudantes, porto dos mercadores, vila real dos amantes.
",-,BERT
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","dar a governo o que é de governo e a deus o que é de deus.
",Substitution,TFIDFVectorizer
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","nem todas as circunstâncias se dizem.
",Substitution,BERT
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","as definidas contas fazem os definidos amigos.
",Analogy,TFIDFVectorizer
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","as definidas contas fazem os especificados amigos.
",Analogy,BERT
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","vermelho nascente que definido descora, crédito de chuva que está p'ra demora.
",Comp_Vec,TFIDFVectorizer
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","vermelho nascente que definido descora, crédito de chuva que está p'ra demora.
",Comp_Vec,BERT
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","as linhas de torres
",-,TFIDFVectorizer
"Bancos dizem que as condições das linhas de crédito foram definidas pelo governo
","a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,BERT
"Sol e calor após o fim do estado de emergência
","o fim do fim
",Substitution,TFIDFVectorizer
"Sol e calor após o fim do estado de emergência
","bocado comido não apanha lado.
",Substitution,BERT
"Sol e calor após o fim do estado de emergência
","o sol do calor
",Analogy,TFIDFVectorizer
"Sol e calor após o fim do estado de emergência
","ao calor de um outro equipamento
",Analogy,BERT
"Sol e calor após o fim do estado de emergência
","vaticano: o calor oculto do estado mais pequeno do mundo
",Comp_Vec,TFIDFVectorizer
"Sol e calor após o fim do estado de emergência
","se entra por terra a emergência, é que o temporal a enxota.
",Comp_Vec,BERT
"Sol e calor após o fim do estado de emergência
","o estado da nação
",-,TFIDFVectorizer
"Sol e calor após o fim do estado de emergência
","vaticano: o rosto oculto do estado mais pequeno do mundo
",-,BERT
"Governo decide futuro das competições de futebol
","a casa das competições
",Substitution,TFIDFVectorizer
"Governo decide futuro das competições de futebol
","o mal dos outros é consolo de possíveis.
",Substitution,BERT
"Governo decide futuro das competições de futebol
","o futuro a deus decide.
",Analogy,TFIDFVectorizer
"Governo decide futuro das competições de futebol
","quem não convence, é como quem não decide.
",Analogy,BERT
"Governo decide futuro das competições de futebol
","deus decide direito por competições tortas.
",Comp_Vec,TFIDFVectorizer
"Governo decide futuro das competições de futebol
","a competição decide boa mostarda.
",Comp_Vec,BERT
"Governo decide futuro das competições de futebol
","gala internacional de futebol
",-,TFIDFVectorizer
"Governo decide futuro das competições de futebol
","bunker ou contos que ouvi depois do mundo acabar
",-,BERT
"Portugal sem casos de crianças com reação inflamatória rara
","não há bela sem senão, nem rara sem sua graça.
",Substitution,TFIDFVectorizer
"Portugal sem casos de crianças com reação inflamatória rara
","pragas com causa, nem ao meu cão.
",Substitution,BERT
"Portugal sem casos de crianças com reação inflamatória rara
","não há bela sem senão, nem inflamatória sem sua graça.
",Analogy,TFIDFVectorizer
"Portugal sem casos de crianças com reação inflamatória rara
","de sensações inflamatórias, mulheres nuas e lautas ceias estão as sepulturas cheias.
",Analogy,BERT
"Portugal sem casos de crianças com reação inflamatória rara
","não há inflamatória sem senão, nem rara sem sua graça.
",Comp_Vec,TFIDFVectorizer
"Portugal sem casos de crianças com reação inflamatória rara
","raríssimo com raríssimo não faz inflamatório muro.
",Comp_Vec,BERT
"Portugal sem casos de crianças com reação inflamatória rara
","as crianças de paris
",-,TFIDFVectorizer
"Portugal sem casos de crianças com reação inflamatória rara
","nuvens finas, sem ligação, bom tempo, brisas de feição.
",-,BERT
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","uma polícia de sangue
",Substitution,TFIDFVectorizer
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","diário de um jovem policial
",Substitution,BERT
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","suspende de moleiro, que não suspendes de ladrão.
",Analogy,TFIDFVectorizer
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","autorizar, suspender e correr depressa
",Analogy,BERT
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","a nomeação de suspender amável
",Comp_Vec,TFIDFVectorizer
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","nem tudo o que nomeação suspende ouro.
",Comp_Vec,BERT
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","amigo do seu amigo meu amigo é.
",-,TFIDFVectorizer
"Supremo suspende nomeação de amigo de Bolsonaro para a polícia
","de grão em grão a galinha enche o papo.
",-,BERT
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","um burro carregado de livros é um mestre.
",Substitution,TFIDFVectorizer
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","escola no cinema, um ponto de vista
",Substitution,BERT
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","academia das quotidianas bruxas
",Analogy,TFIDFVectorizer
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","falai no quotidiano que ele sempre aparece.
",Analogy,BERT
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","a quotidiana tragédia das mulheres pintoras
",Comp_Vec,TFIDFVectorizer
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","quotidiano: o rosto oculto do estado mais pequeno do mundo
",Comp_Vec,BERT
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","academia das pequenas bruxas
",-,TFIDFVectorizer
"Livros: Rubem Fonseca: um mestre das pequenas tragédias quotidianas
","vaticano: o rosto oculto do estado mais pequeno do mundo
",-,BERT
"Europa prepara retoma gradual da atividade económica
","gente da minha continente - europa
",Substitution,TFIDFVectorizer
"Europa prepara retoma gradual da atividade económica
","valete: continente de máscaras
",Substitution,BERT
"Europa prepara retoma gradual da atividade económica
","da europa e da união
",Analogy,TFIDFVectorizer
"Europa prepara retoma gradual da atividade económica
","a melhor europa da história da união
",Analogy,BERT
"Europa prepara retoma gradual da atividade económica
","a gradual europa da história da televisão
",Comp_Vec,TFIDFVectorizer
"Europa prepara retoma gradual da atividade económica
","a europa da senhora peregrine para crianças graduais
",Comp_Vec,BERT
"Europa prepara retoma gradual da atividade económica
","gente da minha terra - europa
",-,TFIDFVectorizer
"Europa prepara retoma gradual da atividade económica
","a boca do ambicioso só se fecha com terra de sepultura.
",-,BERT
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","para governo, governo e meio.
",Substitution,TFIDFVectorizer
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","falta país no teu olhar
",Substitution,BERT
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","cada um toma de si, e deus de todos.
",Analogy,TFIDFVectorizer
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","devemos tomar a opinião dos outros
",Analogy,BERT
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","sê assegurado de saber, e tomarás sábio.
",Comp_Vec,TFIDFVectorizer
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","quando tudo é assegurada, coisa alguma toma.
",Comp_Vec,BERT
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","a nossa forma de vida
",-,TFIDFVectorizer
"Desporto? Governo tomará decisões de forma a estar assegurada a segurança
","o bibliotecário: a maldição do cálice de judas
",-,BERT
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","a boa fé é uma moeda, que quase não tem curso no turismo da vida.
",Substitution,TFIDFVectorizer
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","para quem sabe ler um pingo é metade.
",Substitution,BERT
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","não há turismo sem hotelaria.
",Analogy,TFIDFVectorizer
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","a vida de uma hotelaria
",Analogy,BERT
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","enquanto há hotelaria há esperança.
",Comp_Vec,TFIDFVectorizer
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","o turismo é uma segunda hotelaria.
",Comp_Vec,BERT
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","não há dia sem tarde.
",-,TFIDFVectorizer
"Trabalhadores da hotelaria e turismo há quase dois meses sem salários
","se o trabalho dá saúde, que trabalhem os doentes.
",-,BERT
"GNR descontamina ambulâncias de todo o país
","as ambulâncias do padrinho
",Substitution,TFIDFVectorizer
"GNR descontamina ambulâncias de todo o país
","todo o hospital tem o seu preço.
",Substitution,BERT
"GNR descontamina ambulâncias de todo o país
","a ambulância: a viatura de um país
",Analogy,TFIDFVectorizer
"GNR descontamina ambulâncias de todo o país
","quem não tem ambulância, todo o mundo é seu.
",Analogy,BERT
"GNR descontamina ambulâncias de todo o país
","ambulâncias, país ... e gatos
",Comp_Vec,TFIDFVectorizer
"GNR descontamina ambulâncias de todo o país
","valete: país de máscaras
",Comp_Vec,BERT
"GNR descontamina ambulâncias de todo o país
","de beirais para o país
",-,TFIDFVectorizer
"GNR descontamina ambulâncias de todo o país
","a ignorância da lei não desculpa a ninguém.
",-,BERT
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","património nacional de música
",Substitution,TFIDFVectorizer
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","o rapaz e o túmulo
",Substitution,BERT
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","mosteiro nacional de monja
",Analogy,TFIDFVectorizer
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","mosteiros com convento: a peça
",Analogy,BERT
"Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional
","a mosteiro da bandeira nacional
",Comp_Vec,TFIDFVectorizer
