News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","em boca fechada não entram moscas.
",0.8672727933576395
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","há ocasiões em que o coração vê melhor que os olhos.
",0.9043121759338502
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","o homem mais independente é, ainda, escravo do ar que respira.
",0.9038356304148117
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","em Outubro manda o boi para o palheiro e o barco para o muro.
",0.9090859882596452
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado.
",0.9268226083323762
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","aos olhos da inveja todo o sucesso é crime.
",0.872742844834828
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","ninguém aponte as faltas alheias com o dedo sujo.
",0.9095163598407375
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","mais depressa se apanha um mentiroso que um coxo.
",0.9087519009179453
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","se o trabalho dá saúde, que trabalhem os doentes.
",0.9050821045997156
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","os olhos pedem mais do que a barriga aguenta.
",0.8860915803930047
"Parlamento Europeu declara “emergência climática e ambiental”
","em Dezembro, a uma lebre, galgos cento.
",0.8516954860338573
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","mais vale uma vista do dono, que cem brados do abegão.
",0.938783506725912
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","muitos comandantes levam o navio pela encosta acima.
",0.9105359123110143
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes.
",0.9012460603557737
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes.
",0.8983524617087456
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",0.8997962501746083
"O antes e depois do degelo nos glaciares da Suíça
","azeite de cima, mel do meio e vinho do fundo, não enganam o mundo.
",0.8852677649098208
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","as multidões sempre estão nos extremos, quando não tremem, ameaçam.
",0.90059355333363
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",0.890701149060664
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","muitos comandantes levam o navio pela encosta acima.
",0.864387674283089
"A Terra Inabitável. Quando o terror é a reacção adequada
","é mais abjecto que o miserável, quem lhe insulta a desgraça.
",0.9122970305041782
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","sem nuvens o céu e estrelas sem brilho verás que a tormenta te põe num sarilho.
",0.923103050633564
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","quem tem telhado de vidro não atira pedras ao do vizinho.
",0.8987088536554616
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","muitos comandantes levam o navio pela encosta acima.
",0.8715970978377203
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","não deixe para amanhã o que você pode fazer hoje.
",0.8622536376145602
"Nações Unidas alertam que temperatura do planeta vai aumentar
","não ponhas dúvidas, nem faças contendas sem que saibas a quem te diriges.
",0.8796512525159068
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","a boca do ambicioso só se fecha com terra de sepultura.
",0.8916602958775456
