News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","em abril, águas mil.
",0.7102753
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem ovos vende e galinhas não tem, de algum lado eles vêm.
",0.7336142
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","vermelho nascente que pronto descora, tempo de chuva que está p'ra demora.
",0.8110252
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","em Julho fazer vasculho.
",0.9049286
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","ninguém quer ser velho nem morrer novo.
",0.66798174
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","em terra de sapos, de cócoras como eles.
",0.8792029
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","ladrão que rouba a ladrão tem cem anos de perdão.
",0.6592105
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","fica tudo como dantes, quartel-general em Abrantes.
",0.83370537
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","nunca desprezes as dádivas de hoje pelas promessas de amanhã.
",0.81401515
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","cavalga, para não cair.
",0.7533863
"Parlamento Europeu declara “emergência climática e ambiental”
","quem parte velho paga novo.
",0.47409198
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","lenha verde pouco acende e quem muito dorme pouco aprende.
",0.69962263
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","zombai do tolo em casa, zombará convosco na praça.
",0.86816627
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","se a vida lhe der um limão, faça uma limonada.
",0.5483059
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","em terra de sapos, de cócoras como eles.
",0.817917
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","nunca desprezes as dádivas de hoje pelas promessas de amanhã.
",0.74077433
"O antes e depois do degelo nos glaciares da Suíça
","águas passadas não movem moinhos.
",0.46957508
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","não desespera quem já nada espera, porque já não tem inquietações.
",0.76487666
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","biscoito de freira, fanga de trigo.
",0.87294304
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","mais vale ser feliz que rico.
",0.7214726
"A Terra Inabitável. Quando o terror é a reacção adequada
","boa noite após mau tempo, traz depressa chuva ou vento.
",0.6115144
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","fica tudo como dantes, quartel-general em Abrantes.
",0.73330975
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","vermelho nascente que pronto descora, tempo de chuva que está p'ra demora.
",0.67922825
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","barcos virão, novas trarão.
",0.7004506
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","os vivos são sempre e cada vez mais governados pelos mais vivos.
",0.8138569
"Nações Unidas alertam que temperatura do planeta vai aumentar
","amigos que desaparecem, esquecem.
",0.66703045
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","manhã de nevoeiro, tarde de calmeiro.
",0.8516024
"Clima – 10 resoluções para 2020
","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.
",0.4914742
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
","cada cabeça sua sentença.
",0.66279924
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","nove meses de Inverno, três de inferno.
",0.77851564
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
","quem ovos vende e galinhas não tem, de algum lado eles vêm.
",0.619281
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
","quem tem cem mas deve cem pouco tem.
",0.6301766
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.
",0.6315334
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
","de médico, de sábio e de louco todos temos um pouco.
",0.85511655
"Atuais emissões de gases vão provocar aumento de três graus nas temperaturas
","nove meses de Inverno, três de inferno.
",0.7934574
"Quer combater o aquecimento global? Plante uma árvore
","não destrua a árvore, para depois ter seu fruto.
",0.7113877
"Veredicto abre a porta a protecção para “refugiados climáticos”
","Deus nunca fechou uma porta que não abrisse outra.
",0.6488752
"PAN propõe fim da isenção do imposto do petróleo para avião e barcos
","mais vale pão duro, que nenhum.
",0.58037716
"Judoca Jorge Fonseca galardoado com o prémio Ética no Desporto de 2019
","mais vale ser rabo de pescada que cabeça de sardinha.
",0.52218723
"Paulo Gonçalves condecorado a título póstumo com Colar de Honra ao Mérito Desportivo
","lua com halo de grande aparato, É molha certa prá gente de quarto.
",0.5865181
"Judocas Jorge Fonseca e Patrícia Sampaio eleitos atletas do ano na Gala do Desporto
","junho calmoso, ano formoso.
",0.50385827
"Óculos de natação com realidade aumentada
","lua com halo de grande aparato, É molha certa prá gente de quarto.
",0.63736933
"De pequenino se começa a rolar no primeiro skatepark do Porto
","vento sudoeste mansinho e panga É de tremer dele, quando se zanga.
",0.77840763
"Única medalhada do Irão desertou: “Sou uma de milhões de mulheres oprimidas”
","mais vale ser rabo de pescada que cabeça de sardinha.
",0.82596993
"Reações à morte do ""Speedy"", o altruísta que parou para ajudar um rival no deserto
","para um mau profissional, nenhuma ferramenta lhe serve.
",0.6918772
"Magia dos patins faz a Oliveirense crescer no hóquei
","quem tem sangue, faz chouriços.
",0.59221363
"Kobe Bryant, o fim trágico de uma estrela
","mais vale uma vista do dono, que cem brados do abegão.
",0.65834945
"Presidente da federação de Andebol diz que Tóquio2020 seria ""topo do topo""
","do alto cai quem alto sobe.
",0.6141592
"Mais rápido, mais alto, mais forte. Um calendário para homenagear os paralímpicos
","quanto mais depressa, mais devagar.
",0.8540949
"Seleção portuguesa de andebol recebida com fortes aplausos na chegada a Lisboa
","chuva miúda e neve aturada, são bom alimento de terra lavrada.
",0.652925
"Atletas de 22 nacionalidades correram na Meia Maratona Manuela Machado
","às três é de vez.
",0.63087106
"Paulo Gonçalves. Uma vida de suor dedicada a correr na areia em imagens
","fica tudo como dantes, quartel-general em Abrantes.
",0.7713562
"Queda impressionante de jogador interrompe Benfica-F.C. Porto em basquetebol
","fica tudo como dantes, quartel-general em Abrantes.
",0.7562032
"Ford experimenta um novo combustível: óleo de cozinha
","o macaco mesmo coberto com a pele dum carneiro, é sempre um macaco.
",0.657623
"Escócia terá energia 100% renovável até ao final de 2020
","aprender até morrer.
",0.6201484
"Em Idanha-a-Nova vai crescer um aldeamento sustentável para viver ou visitar
","para amigo íntimo, basta um, colhido na adversidade.
",0.8052737
"Um museu temporário para mudar comportamentos para sempre
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.78052366
"Destruídos 41 mil ninhos de vespa-asiática em cinco anos
","em abril, águas mil.
",0.72721624
"""Não é com mais barragens"" que se resolve falta de água, mas também pode ser
","a mulher de César tem que ser, não basta parecer.
",0.8726224
"ONU critica inação no Pinhal de Leiria
","senhoria de Itália, Dom de Espanha - não valem uma castanha.
",0.4943039
"O vírus não precisa de passaporte
","galinha de campo não quer capoeira.
",0.71242225
"Ministro do Ambiente apoia central de dessalinização no Algarve
","tempo de guerra, mentira como terra.
",0.6952035
"O “Brexit”, a geopolítica atlântica e a macrorregião europeia peninsular
","língua comprida, mentira maior.
",0.41066152
"E que tal usar flores, vermes e estrume para reduzir a poluição das águas?
","com águas passadas não moem moinhos.
",0.71766263
"Investigador sugere que os OVNIs são pilotados por humanos do futuro
","os cegos por ambição ainda vêem menos, que os cegos por nascimento.
",0.80168134
"Proteção de dados pessoais é condição da dignidade.
","gastos demasiados, caminho de miséria.
",0.7536146
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","nove meses de Inverno, três de inferno.
",0.77851564
"Máscaras esgotam nas farmácias, das mais simples às mais elaboradas
","pedra sobre pedra, às vezes chega.
",0.77400637
