News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","em Julho fazer vasculho.
",0.8419957
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem tem telhado de vidro não atira pedras ao do vizinho.
",0.8961241
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","dar a César o que é de César e a Deus o que é de Deus.
",0.8445797
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","em Junho foucinha no punho.
",0.84846187
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","é sempre o burro que fala.
",0.8384248
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","zombai do tolo em casa, zombará convosco na praça.
",0.948887
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.
",0.78110373
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","mal por mal, antes na cadeia do que no hospital.
",0.9416312
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","nunca desprezes as dádivas de hoje pelas promessas de amanhã.
",0.84324497
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","a mulher de César tem que ser, não basta parecer.
",0.8750833
"Parlamento Europeu declara “emergência climática e ambiental”
","sogro e sogra milho e feijão só dão resultado debaixo do chão.
",0.5235888
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","os olhos pedem mais do que a barriga aguenta.
",0.9285205
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","não se fala de corda em casa de enforcado.
",0.90833515
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","a amenidade no semblante, anuncia a bondade do coração.
",0.8943481
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.85684305
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","ignora as causas, quem se pasma dos efeitos.
",0.8339955
"O antes e depois do degelo nos glaciares da Suíça
","a amenidade no semblante, anuncia a bondade do coração.
",0.93112653
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","os olhos pedem mais do que a barriga aguenta.
",0.82479405
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","longe da vista, longe do coração.
",0.8359852
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","mais vale ficar vermelho cinco minutos,que amarelo toda a vida.
",0.8024438
"A Terra Inabitável. Quando o terror é a reacção adequada
","é a fome e o frio que põe a lebre a caminho.
",0.9447704
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","na boda dos pobres, tudo são vozes.
",0.86536866
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","mais vale ter um pássaro na mão do que dois a voar.
",0.8559059
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","esta vida são dois dias e o Carnaval são três.
",0.67870176
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","nada é tão bem empregado, como aquilo que se dá aos que precisam.
",0.78236574
"Nações Unidas alertam que temperatura do planeta vai aumentar
","mais vale prevenir do que remediar.
",0.8736695
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.8537532
"Clima – 10 resoluções para 2020
","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.
",0.52902174
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
","o seguro morreu de velho e a previdência foi ao enterro.
",0.9242872
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.8194986
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.80077344
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
","mais do que o dado, vale a maneira de o dar.
",0.93528795
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","em Julho fazer vasculho.
",0.70422345
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
","zombai do tolo em casa, zombará convosco na praça.
",0.913305
"Atuais emissões de gases vão provocar aumento de três graus nas temperaturas
","nunca desprezes as dádivas de hoje pelas promessas de amanhã.
",0.845861
"Quer combater o aquecimento global? Plante uma árvore
","o hábito é uma segunda Natureza.
",0.77524316
"Veredicto abre a porta a protecção para “refugiados climáticos”
","abrir a alma à ambição, é fecha-la ao sossego.
",0.78542954
"PAN propõe fim da isenção do imposto do petróleo para avião e barcos
","não vendas a pele do urso antes de o matar.
",0.92361397
"Judoca Jorge Fonseca galardoado com o prémio Ética no Desporto de 2019
","com um olho no burro e o outro no cigano.
",0.8817755
"Paulo Gonçalves condecorado a título póstumo com Colar de Honra ao Mérito Desportivo
","a lisonja é incompatível com a nobreza de carácter.
",0.89617705
"Judocas Jorge Fonseca e Patrícia Sampaio eleitos atletas do ano na Gala do Desporto
","de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.
",0.9021099
"Óculos de natação com realidade aumentada
","casa de pais, escola de filhos.
",0.76042897
"De pequenino se começa a rolar no primeiro skatepark do Porto
","o testamento do pobre é breve, na unha se escreve.
",0.95082796
"Única medalhada do Irão desertou: “Sou uma de milhões de mulheres oprimidas”
","de médico, de sábio e de louco todos temos um pouco.
",0.81585
"Reações à morte do ""Speedy"", o altruísta que parou para ajudar um rival no deserto
","à boda do ferreiro, cada um com o seu dinheiro.
",0.9301372
"Magia dos patins faz a Oliveirense crescer no hóquei
","a amenidade no semblante, anuncia a bondade do coração.
",0.9069561
"Kobe Bryant, o fim trágico de uma estrela
","mais vale uma vista do dono, que cem brados do abegão.
",0.8810447
"Presidente da federação de Andebol diz que Tóquio2020 seria ""topo do topo""
","longe da vista, longe do coração.
",0.9237227
"Mais rápido, mais alto, mais forte. Um calendário para homenagear os paralímpicos
","mais vale um que bem mande do que dois que mal façam.
",0.80478734
"Seleção portuguesa de andebol recebida com fortes aplausos na chegada a Lisboa
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.91975254
"Atletas de 22 nacionalidades correram na Meia Maratona Manuela Machado
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.8303876
"Paulo Gonçalves. Uma vida de suor dedicada a correr na areia em imagens
","geada na lama água na cama.
",0.90986425
"Queda impressionante de jogador interrompe Benfica-F.C. Porto em basquetebol
","em casa de ferreiro, espeto de salgueiro.
",0.8790661
"Ford experimenta um novo combustível: óleo de cozinha
","de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.
",0.80404437
"Escócia terá energia 100% renovável até ao final de 2020
","mais do que o dado, vale a maneira de o dar.
",0.7773334
"Em Idanha-a-Nova vai crescer um aldeamento sustentável para viver ou visitar
","para amigo íntimo, basta um, colhido na adversidade.
",0.8613777
"Um museu temporário para mudar comportamentos para sempre
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.87086654
"Destruídos 41 mil ninhos de vespa-asiática em cinco anos
","em abril, águas mil.
",0.81617194
"""Não é com mais barragens"" que se resolve falta de água, mas também pode ser
","assás é de pouco saber quem se mata pelo que não pode haver.
",0.9318573
"ONU critica inação no Pinhal de Leiria
","zombai do tolo em casa, zombará convosco na praça.
",0.85062593
"O vírus não precisa de passaporte
","azeite de cima, mel do meio e vinho do fundo, não enganam o mundo.
",0.8979329
"Ministro do Ambiente apoia central de dessalinização no Algarve
","no Natal, passadinha de Natal.
",0.9105052
"O “Brexit”, a geopolítica atlântica e a macrorregião europeia peninsular
","ao menino e ao borracho põe-lhes Deus a mão por baixo.
",0.82084656
"E que tal usar flores, vermes e estrume para reduzir a poluição das águas?
","lançar foguetes, fazer a festa e apanhar as canas.
",0.86374855
"Investigador sugere que os OVNIs são pilotados por humanos do futuro
","em questões de amor e bravura, os que mais roncam são os que menos fazem.
",0.90520567
"Proteção de dados pessoais é condição da dignidade.
","a necessidade é mestra de engenhos.
",0.9271631
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.8194986
"Máscaras esgotam nas farmácias, das mais simples às mais elaboradas
","as tatuagens nas costas são conhecidas daqueles que as executam.
",0.92268425
"Médicos fazem exames desportivos à pressão e a troco de 2,3 euros por consulta
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.84193087
"Auriol Dongmo fixa novo recorde de Portugal no peso feminino
","no Natal, passadinha de Natal.
",0.8652668
"Paulo Conceição com novo recorde de Portugal no salto em altura
","zombai do tolo em casa, zombará convosco na praça.
",0.9076895
"Kobe Bryant: Eternidade chegou depressa de mais a quem nasceu para se tornar uma lenda
","se queres conhecer o vilão, põe-lhe uma vara na mão.
",0.86523724
"As fotografias da vida em Fukushima — nove anos depois do desastre nuclear
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.9021699
"Missão Paralímpica Tóquio2020 prepara atletas para participação ao mais alto nível
","muitos comandantes levam o navio pela encosta acima.
",0.8439463
"Portugal vence Bélgica e aproxima-se da manutenção no ‘Championship’ de râguebi
","compreender e compadecer-se, é todo o segredo da bondade.
",0.84626526
"Choque mundial do coronavírus. Bolsas perdem 1% em janeiro e juros da dívida em queda
","zombai do tolo em casa, zombará convosco na praça.
",0.86689013
"Investimento em fundos sustentáveis dispara
","em Julho fazer vasculho.
",0.8298442
"Países “não estão preparados” para crises de saúde pública
","santos da casa não fazem milagres.
",0.65345794
"Corona vírus: Uma infeção que constipa as economias
","tanta chuva pelas Candeias, tantas abelhas para as colmeias.
",0.7690304
"Mundo fecha as portas a viajantes da China com receio do coronavírus
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.93174076
Todos no planeta (afinal) temos um pouco de neandertal,"um olho no burro e outro no cigano.
",0.87553465
