News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","em Julho fazer vasculho.
",0.1111111111111111
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","mais vale um pássaro na mão do que dois a voar.
",0.2222222222222222
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","a maior virtude dos que falam é calar o que não devem dizer.
",0.23076923076923078
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","no Natal, passadinha de Natal.
",0.1875
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","o amor é cego.
",0.13333333333333333
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","mal por mal, antes na cadeia do que no hospital.
",0.17857142857142858
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","água do rio corre para o mar.
",0.14285714285714285
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","no meio é que está a virtude.
",0.22727272727272727
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","de fartas ceias estão as sepulturas cheias.
",0.09523809523809523
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","vai muito do dizer ao fazer.
",0.16666666666666666
"Parlamento Europeu declara “emergência climática e ambiental”
","obdece e saberás mandar.
",0.08333333333333333
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","os olhos pedem mais do que a barriga aguenta.
",0.2631578947368421
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","de pequenino se constrói o destino.
",0.1875
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","a ignorância é o pior de todos os males.
",0.18181818181818182
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","mais vale andar no mar alto, que nas bocas do mundo.
",0.16666666666666666
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","amor e fé nas obras se vê.
",0.16666666666666666
"O antes e depois do degelo nos glaciares da Suíça
","mata primeiro o elefante e depois arranca-lhe os pelos da cauda.
",0.25
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","os olhos pedem mais do que a barriga aguenta.
",0.19047619047619047
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","até S. Pedro o vinho tem medo..
",0.14285714285714285
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","em desterro, dá a pobreza mais tormento.
",0.16666666666666666
"A Terra Inabitável. Quando o terror é a reacção adequada
","quando a esmola é grande, o pobre desconfia.
",0.23529411764705882
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","em questões de amor e bravura, os que mais roncam são os que menos fazem.
",0.12903225806451613
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","de tostão em tostão se faz um milhão.
",0.2
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","antes dentes que parentes.
",0.06666666666666667
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","para conhecer os homens, é preciso ter sofrido.
",0.17647058823529413
"Nações Unidas alertam que temperatura do planeta vai aumentar
","o tempo que vai não volta.
",0.2
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","guardado está o bocado para quem o há de comer.
",0.15384615384615385
"Clima – 10 resoluções para 2020
","dividir para reinar.
",0.14285714285714285
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
","o magnânimo tem por sua a honra dos seus.
",0.16666666666666666
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","vai muito do dizer ao fazer.
",0.15
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
","a água de Janeiro vale dinheiro.
",0.13333333333333333
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
","a ignorância é a mãe do atrevimento.
",0.16666666666666666
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","gaivotas em terra, tempestade no mar.
",0.1111111111111111
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
","mais vale um pássaro na mão do que dois a voar.
",0.18518518518518517
