News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","o caldo em quente, a injúria em frio.
",0.3162277660168379
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem mais tem mais quer.
",0.3903600291794132
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","mais vale um que bem mande do que dois que mal façam.
",0.4260064336151292
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","o caldo em quente, a injúria em frio.
",0.42640143271122083
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","a conversa é como as cerejas.
",0.17677669529663687
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","em casa de ferreiro, espeto de pau.
",0.40422604172722154
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","para cá do Marão, mandam os que cá estão, para lá do Marão, mandam os que de cá vão.
",0.22798037629377663
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","em Outubro pega tudo.
",0.3535533905932738
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","às três é de vez.
",0.375
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","tanto é ladrão o que vai à vinha como o que fica à porta.
",0.2860387767736777
"Parlamento Europeu declara “emergência climática e ambiental”
","a abelha não leva chumbo.
",0.0
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","quanto mais depressa, mais devagar.
",0.5698028822981898
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","quanto mais se semeia em desejos, menos se colhe em felicidade.
",0.42966892442365967
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","o temor do Senhor é o princípio da sabedoria.
",0.2461829819586655
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","em casa de ferreiro, espeto de pau.
",0.3823595564509362
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","juntam-se as comadres, descobrem-se as verdades.
",0.3333333333333334
"O antes e depois do degelo nos glaciares da Suíça
","depois da tempestade vem a bonança.
",0.3162277660168379
