News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","o caldo em quente, a injúria em frio.
",0.11649867518825313
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem mais tem mais quer.
",0.2701712252752796
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","quanto maior é a nau, maior é a tormenta.
",0.19779019658583624
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","o caldo em quente, a injúria em frio.
",0.18003544893107382
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","o que não tem solução, solucionado está.
",0.20668005128291111
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","geada na lama água na cama.
",0.20933319760805982
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","antes de tudo julgar, é necessário conhecer.
",0.15716435407835083
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","quem conta um conto, acrescenta um ponto.
",0.26251512534219107
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","às três é de vez.
",0.20228614714519305
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","quem vai ao mar avia-se em terra.
",0.17541745694527666
"Parlamento Europeu declara “emergência climática e ambiental”
","a abelha não leva chumbo.
",0.0
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","quanto mais depressa, mais devagar.
",0.3306901142771427
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","a melhor defesa é o ataque.
",0.2070597857312566
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","se a vida lhe der um limão, faça uma limonada.
",0.13657403950681682
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","em abril, águas mil.
",0.17311476391604072
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","dinheiro não nasce nas árvores.
",0.1872149830655322
"O antes e depois do degelo nos glaciares da Suíça
","mais vale uma palavra antes que duas depois.
",0.24312723691682508
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","não desespera quem já nada espera, porque já não tem inquietações.
",0.1653397493448779
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","cachorro mordido de cobra, tem medo até de barbante.
",0.2235201089160868
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","os vivos são sempre e cada vez mais governados pelos mais vivos.
",0.19821511954836074
"A Terra Inabitável. Quando o terror é a reacção adequada
","quando a passarada berra, o marinheiro procura terra.
",0.17772982676516902
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","quem diz o que quer, ouve o que não quer.
",0.1578477186938144
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","sem nuvens o céu e estrelas sem brilho verás que a tormenta te põe num sarilho.
",0.15350140907059892
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","barcos virão, novas trarão.
",0.16060831141331394
