Título de Notícia,Jaccard,CountVectorizer,TFIDFVectorizer,WE+Glove,WE+Glove+TFIDF,WE+FT,WE+FT+TFIDF,BERT
"Emissões atmosféricas aumentaram em 2017
",em Julho fazer vasculho.,"o caldo em quente, a injúria em frio.","o caldo em quente, a injúria em frio.","em abril, águas mil.","nuvens pequenas, altas e escuras são chuvas certas e seguras.",em Julho fazer vasculho.,"em abril, águas mil.",em boca fechada não entram moscas.
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
",mais vale um pássaro na mão do que dois a voar.,quem mais tem mais quer.,quem mais tem mais quer.,"a boa fé é uma moeda, que quase não tem curso no comércio da vida.","quanto mais alto, maior é a queda.",quem tem telhado de vidro não atira pedras ao do vizinho.,"quem ovos vende e galinhas não tem, de algum lado eles vêm.",há ocasiões em que o coração vê melhor que os olhos.
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
",a maior virtude dos que falam é calar o que não devem dizer.,mais vale um que bem mande do que dois que mal façam.,"quanto maior é a nau, maior é a tormenta.",dar a César o que é de César e a Deus o que é de Deus.,"a boa fé é uma moeda, que quase não tem curso no comércio da vida.",dar a César o que é de César e a Deus o que é de Deus.,"vermelho nascente que pronto descora, tempo de chuva que está p'ra demora.","o homem mais independente é, ainda, escravo do ar que respira."
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","no Natal, passadinha de Natal.","o caldo em quente, a injúria em frio.","o caldo em quente, a injúria em frio.","nas empresas arrojadas, o êxito depende do primeiro impulso.",na confiança está o perigo.,em Junho foucinha no punho.,em Julho fazer vasculho.,em Outubro manda o boi para o palheiro e o barco para o muro.
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
",o amor é cego.,a conversa é como as cerejas.,"o que não tem solução, solucionado está.",o pior cego é aquele que não quer ver.,viver é como desenhar sem borracha.,é sempre o burro que fala.,ninguém quer ser velho nem morrer novo.,"poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado."
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","mal por mal, antes na cadeia do que no hospital.","em casa de ferreiro, espeto de pau.",geada na lama água na cama.,"desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","zombai do tolo em casa, zombará convosco na praça.","em terra de sapos, de cócoras como eles.",aos olhos da inveja todo o sucesso é crime.
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
",água do rio corre para o mar.,"para cá do Marão, mandam os que cá estão, para lá do Marão, mandam os que de cá vão.","antes de tudo julgar, é necessário conhecer.",a ordem dos fatores não altera o produto.,a água é tão útil às plantas como o alimento aos animais.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.",ladrão que rouba a ladrão tem cem anos de perdão.,ninguém aponte as faltas alheias com o dedo sujo.
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
",no meio é que está a virtude.,em Outubro pega tudo.,"quem conta um conto, acrescenta um ponto.","mal por mal, antes na cadeia do que no hospital.",na confiança está o perigo.,"mal por mal, antes na cadeia do que no hospital.","fica tudo como dantes, quartel-general em Abrantes.",mais depressa se apanha um mentiroso que um coxo.
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
",de fartas ceias estão as sepulturas cheias.,às três é de vez.,às três é de vez.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,a ordem dos fatores não altera o produto.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,"se o trabalho dá saúde, que trabalhem os doentes."
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
",vai muito do dizer ao fazer.,tanto é ladrão o que vai à vinha como o que fica à porta.,quem vai ao mar avia-se em terra.,a maior virtude dos que falam é calar o que não devem dizer.,a maior virtude dos que falam é calar o que não devem dizer.,"a mulher de César tem que ser, não basta parecer.","cavalga, para não cair.",os olhos pedem mais do que a barriga aguenta.
"Parlamento Europeu declara “emergência climática e ambiental”
",obdece e saberás mandar.,a abelha não leva chumbo.,a abelha não leva chumbo.,o homem põe e Deus dispõe.,à mulher de César não basta parecer.,sogro e sogra milho e feijão só dão resultado debaixo do chão.,quem parte velho paga novo.,"em Dezembro, a uma lebre, galgos cento."
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
",os olhos pedem mais do que a barriga aguenta.,"quanto mais depressa, mais devagar.","quanto mais depressa, mais devagar.",os olhos pedem mais do que a barriga aguenta.,"quanto mais depressa, mais devagar.",os olhos pedem mais do que a barriga aguenta.,lenha verde pouco acende e quem muito dorme pouco aprende.,"mais vale uma vista do dono, que cem brados do abegão."
"Milhares de jovens juntam-se em Lisboa em defesa do clima
",de pequenino se constrói o destino.,"quanto mais se semeia em desejos, menos se colhe em felicidade.",a melhor defesa é o ataque.,"desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.",não se fala de corda em casa de enforcado.,"zombai do tolo em casa, zombará convosco na praça.",muitos comandantes levam o navio pela encosta acima.
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
",a ignorância é o pior de todos os males.,o temor do Senhor é o princípio da sabedoria.,"se a vida lhe der um limão, faça uma limonada.","mais do que o dado, vale a maneira de o dar.",todos os caminhos vão dar a Roma.,"a amenidade no semblante, anuncia a bondade do coração.","se a vida lhe der um limão, faça uma limonada.","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes."
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","mais vale andar no mar alto, que nas bocas do mundo.","em casa de ferreiro, espeto de pau.","em abril, águas mil.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","em terra de sapos, de cócoras como eles.","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes."
