1, Emissões, emissõe, n, O
2, atmosféricas, atmosférico, adj, O
3, aumentaram, aumentar, v-fin, O
4, em, em, prp, B-TEMPO
5, 2017, 2017, N, I-TEMPO

1, Algarve, algarve, prop, O
2, é, é, v-fin, O
3, o, o, art, O
4, melhor, bom, adj, O
5, destino, destino, n, O
6, de, de, prp, O
7, golfe, golfe, n, O
8, de, de, prp, O
9, o, o, art, O
10, mundo, mundo, n, O
11, para, para, prp, O
12, 2020, 2020, N, O

1, FMI, fmi, prop, O
2, quer, querer, v-fin, O
3, impostos, imposto, n, O
4, mais, mais, adv, O
5, altos, alto, adj, O
6, em, em, prp, O
7, o, o, art, O
8, carbono, carbono, n, O
9, e, e, conj-c, O
10, avisa, avisa, mv:v-fin:avisar:pr_3s_ind::fs-rel:, O
11, que, que, pron-det, O
12, fatura, faturo, n, O
13, de, de, prp, O
14, a, o, art, O
15, energia, energia, n, O
16, tem, ter, v-fin, O
17, de, de, prp, O
18, aumentar, aumentar, v-inf, O

1, Ana, ana, nprop, B-PESSOA
2, Paula, paula, nprop, I-PESSOA
3, Vitorino, vitorino, n, I-PESSOA
4, deixa, deixar, v-fin, O
5, inspirações, inspiraçõe, n, O
6, para, para, prp, O
7, o, o, art, O
8, sucessor, sucessor, n, O

1, O, o, pron-det, O
2, que, que, pron-indp, O
3, se, se, pron-pers, O
4, passou, passar, v-fin, O
5, em, em, prp, O
6, o, o, art, O
7, país, paí, n, O
8, e, e, conj-c, O
9, em, em, prp, O
10, o, o, art, O
11, mundo, mundo, n, O

1, “, “, N, O
2, Cabeças, cabeça, n, O
3, a, a, prp, O
4, rolar, rolar, v-inf, O
5, ”, ”, N, O
6, e, e, conj-c, O
7, versões, versõe, n, O
8, opostas, opor, v-pcp, O
9, sobre, sobre, prp, O
10, racismo, racismo, n, O
11, em, em, prp, O
12, o, o, art, O
13, Bulgária-Inglaterra, bulgária-inglaterra, n, B-PESSOA

1, Governo, governo, prop, B-ORGANIZACAO
2, cria, criar, v-fin, O
3, grupo, grupo, n, O
4, de, de, prp, O
5, trabalho, trabalho, n, O
6, para, para, prp, O
7, organizar, organizar, v-inf, O
8, Web, web, N, O
9, Summit, summit, N, O

1, Em, em, prep, B-TEMPO
2, 2017, 2017, N, I-TEMPO
3, o, o, art, O
4, potencial, potencial, adj, O
5, de, de, prp, O
6, aquecimento, aquecimento, n, O
7, global, global, adj, O
8, aumentou, aumentar, v-fin, O
9, 6,9, 6,9, num, O
10, %, %, n, B-VALOR
11, em, em, prp, O
12, Portugal, portugal, prop, B-LOCAL

1, Ana, ana, nprop, O
2, Filipe, filipe, n, O
3, e, e, conj-c, O
4, Lenine, lenine, prop, B-PESSOA
5, Cunha, cunhar, v-fin, I-PESSOA
6, conquistam, conquistar, v-fin, O
7, medalhas, medalha, n, O
